Orderregel,MachineNaam,Sum of VOCA in uur,Status
172525,Laser 3,18.03,InProgress
172526,Laser 3,17.74,InProgress
172527,Laser 4,18.03,InProgress
172755,Flash_Cut 5,0.52,InProgress
173203,Freesmachine,0.29,InProgress
173204,Buigmachine,0.07,InProgress
173205,Assemblage 1,0.33,InProgress
173211,Freesmachine,0.49,InProgress
173212,Buigmachine,0.83,InProgress
173213,Assemblage 1,1.67,InProgress
173215,Freesmachine,1.6,InProgress
173216,Buigmachine,1.67,InProgress
173217,Assemblage 1,3.33,InProgress
173219,Freesmachine,0.33,InProgress
173220,Buigmachine,0.5,InProgress
173221,Assemblage 1,1.08,InProgress
173222,Freesmachine,0.1,InProgress
173223,Laser 4,0.18,InProgress
173389,Atom,5.75,InProgress
173395,Chiesa,2.75,InProgress
173401,Chiesa,2.75,InProgress
173403,Flash_Cut 2,13.91,InProgress
173408,Flash_Cut 5,1.88,InProgress
173409,Flash_Cut 3,17.58,InProgress
173428,Degel 1,4.98,InProgress
173480,Chiesa,5.17,InProgress
173482,Chiesa,1.94,InProgress
173553,Atom,1.15,InProgress
173554,Atom,0.53,InProgress
173556,Snijmachine,0.35,InProgress
173557,Snijmachine,2.33,InProgress
173558,Snijmachine,2.11,InProgress
173580,Degel 1,3.4,InProgress
173697,Freesmachine,2.62,InProgress
173717,Quad,70.47,InProgress
173984,Stikken Secrid,7.71,InProgress
173986,Stikken Secrid,6.17,InProgress
173987,Stikken Secrid,6.17,InProgress
173988,Stikken Secrid,3.08,InProgress
173989,Stikken Secrid,3.08,InProgress
173990,Stikken Secrid,3.08,InProgress
173991,Stikken Secrid,3.08,InProgress
173992,Stikken Secrid,7.71,InProgress
173993,Stikken Secrid,3.08,InProgress
173994,Stikken Secrid,7.71,InProgress
174035,Stikken Secrid,15.42,InProgress
174036,Stikken Secrid,6.17,InProgress
174037,Stikken Secrid,6.17,InProgress
174038,Stikken Secrid,0.62,InProgress
174041,Assemblage Secrid,2.22,InProgress
174043,Assemblage Secrid,2.22,InProgress
174044,Assemblage Secrid,2.22,InProgress
174045,Assemblage Secrid,2.22,InProgress
174046,Assemblage Secrid,2.22,InProgress
172993,Degel 1,3.58,InProgress
173180,Laser 4,0.94,InProgress
173181,Laser 4,2.21,InProgress
173182,Laser 4,0.42,InProgress
173183,Laser 4,0.31,InProgress
173184,Laser 4,0.04,InProgress
173185,Laser 4,0.01,InProgress
173186,Laser 4,0.49,InProgress
173187,Laser 4,0.03,InProgress
173188,Laser 4,0.8,InProgress
173189,Laser 4,0.55,InProgress
173190,Laser 4,0.05,InProgress
173191,Laser 4,0.05,InProgress
173192,Laser 4,0.05,InProgress
173193,Laser 4,0.05,InProgress
173197,Laser 4,0.05,InProgress
173198,Laser 4,0.02,InProgress
173199,Laser 4,0.05,InProgress
173200,Laser 4,0.06,InProgress
173201,Laser 4,0.03,InProgress
173202,Verzenden,0.26,InProgress
173706,Degel 5,5.22,InProgress
173707,Degel 4,4.72,InProgress
173708,Degel 4,2.36,InProgress
173709,Degel 4,2.36,InProgress
173135,Giant,22.67,InProgress
173635,Assemblage Secrid,5.34,InProgress
173636,Assemblage Secrid,2.72,InProgress
173637,Assemblage Secrid,2.54,InProgress
173644,Laser 4,1.29,InProgress
173645,Laser 2,0.63,InProgress
173646,Laser 4,0.74,InProgress
173647,Laser 4,0.45,InProgress
173653,Freesmachine,0.64,InProgress
173654,Buigmachine,0.5,InProgress
173655,Assemblage 1,1.06,InProgress
173669,Flash_Cut 5,2.03,InProgress
173719,Degel 4,2.86,InProgress
173720,Degel 4,4.17,InProgress
173893,Flash_Cut 2,21.93,InProgress
173910,Flash_Cut 2,8.39,InProgress
174092,Laser 2,0.61,InProgress
174121,Stikken Secrid,6.17,InProgress
174122,Stikken Secrid,52.42,InProgress
174123,Stikken Secrid,6.17,InProgress
174124,Stikken Secrid,3.08,InProgress
174127,,5.17,InProgress
174128,,19,InProgress
174130,Stikken Secrid,3.08,InProgress
174131,Stikken Secrid,6.17,InProgress
174132,Stikken Secrid,3.08,InProgress
174133,Stikken Secrid,15.42,InProgress
174134,Stikken Secrid,9.25,InProgress
174135,Stikken Secrid,9.25,InProgress
174137,Stikken Secrid,12.33,InProgress
174138,Stikken Secrid,18.5,InProgress
174139,Stikken Secrid,12.33,InProgress
174140,Stikken Secrid,12.33,InProgress
174141,Stikken Secrid,6.17,InProgress
174142,Stikken Secrid,6.17,InProgress
174143,Stikken Secrid,15.42,InProgress
174144,Stikken Secrid,12.33,InProgress
174145,Stikken Secrid,3.08,InProgress
174146,Stikken Secrid,3.08,InProgress
174147,Stikken Secrid,6.17,InProgress
174148,Stikken Secrid,9.25,InProgress
174149,Stikken Secrid,6.17,InProgress
174150,Stikken Secrid,9.25,InProgress
174151,Stikken Secrid,12.33,InProgress
174152,Stikken Secrid,9.25,InProgress
174153,Stikken Secrid,6.17,InProgress
173240,Flash_Cut 1,16.9,InProgress
173245,Laserstansen,3.16,InProgress
173327,Degel 1,13.26,InProgress
173413,Laser 2,0.3,InProgress
173657,Chiesa,14.6,InProgress
173741,Flash_Cut 5,0.65,InProgress
174242,Giant,0.75,InProgress
171433,Quad,3.03,InProgress
171435,Quad,7,InProgress
171436,Quad,2.19,InProgress
171447,Quad,6.87,InProgress
171449,Quad,6.68,InProgress
171450,Quad,2.09,InProgress
173462,Degel 1,0.69,InProgress
173567,Laser 2,1.36,InProgress
173614,Laser 2,4.47,InProgress
173686,Chiesa,11.13,InProgress
173687,Assemblage drankverpakkingen,306.67,InProgress
173745,Atom,2.94,InProgress
173748,Atom,2.98,InProgress
173751,Atom,2.16,InProgress
173754,Atom,5.75,InProgress
173757,Giant,1.96,InProgress
173760,Atom,3.67,InProgress
173763,Atom,2.26,InProgress
173769,Atom,3.27,InProgress
173775,Atom,2.49,InProgress
173782,Atom,2.01,InProgress
173785,Atom,1.35,InProgress
174051,Quad,6.71,InProgress
174052,Quad,4.19,InProgress
174053,Quad,3.36,InProgress
174055,Quad,5.03,InProgress
174396,Quad,5.03,InProgress
174397,Quad,5.87,InProgress
174398,Stikken Secrid,2.52,InProgress
172610,Giant,0.28,InProgress
172611,Giant,1.02,InProgress
172614,Giant,0.26,InProgress
172615,Giant,0.01,InProgress
172616,Giant,0.23,InProgress
172620,Laser 4,0.26,InProgress
172621,Laser 4,0.27,InProgress
172627,Laser 4,0.26,InProgress
172628,Laser 4,0.26,InProgress
172630,Laser 4,0.26,InProgress
172631,Laser 4,0.26,InProgress
173045,Laser 4,0.82,InProgress
173049,Laser 4,1,InProgress
173342,Laser 4,0.29,InProgress
173344,Laser 4,0.29,InProgress
173346,Laser 4,0.31,InProgress
173348,Laser 4,0.29,InProgress
173350,Laser 4,0.33,InProgress
173352,Laser 4,0.33,InProgress
173354,Laser 4,0.29,InProgress
173445,Giant,0.55,InProgress
173447,Laser 2,0.42,InProgress
173563,Laser 2,0.25,InProgress
